,Species,Boolean Zones (reversed),Fishbase Zones (reversed)
0,Aetomylaeus bovinus,"[0, 0, 0, 0, 1]","[0, 0, 1, 1, 1]"
1,Bathyraja brachyurops,"[0, 1, 1, 1, 0]","[0, 1, 1, 1, 0]"
2,Centrophorus granulosus,"[1, 1, 1, 1, 0]","[1, 1, 1, 1, 0]"
3,Centrophorus uyato,"[1, 1, 1, 1, 0]","[1, 1, 1, 1, 0]"
4,Chimaera monstrosa,"[1, 1, 1, 1, 0]","[1, 1, 1, 1, 0]"
5,Dalatias licha,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
6,Dasyatis pastinaca,"[0, 1, 1, 1, 0]","[0, 0, 1, 1, 1]"
7,Dipturus batis,"[1, 0, 0, 0, 0]","[1, 1, 1, 0, 0]"
8,Dipturus oxyrinchus,"[1, 1, 1, 0, 0]","[1, 1, 1, 0, 0]"
9,Etmopterus spinax,"[1, 1, 1, 1, 0]","[1, 1, 1, 1, 0]"
10,Galeus melastomus,"[1, 1, 1, 1, 0]","[1, 1, 1, 1, 0]"
11,Heptranchias perlo,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
12,Hexanchus griseus,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
13,Leucoraja circularis,"[1, 1, 1, 0, 0]","[1, 1, 1, 0, 0]"
14,Leucoraja fullonica,"[0, 1, 0, 0, 0]","[0, 1, 1, 1, 1]"
15,Leucoraja melitensis,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 0]"
16,Leucoraja naevus,"[0, 1, 0, 0, 0]","[0, 1, 1, 1, 1]"
17,Mustelus asterias,"[0, 1, 1, 1, 1]","[0, 1, 1, 1, 1]"
18,Mustelus mustelus,"[0, 1, 1, 1, 1]","[0, 1, 1, 1, 1]"
19,Mustelus punctulatus,"[0, 0, 1, 1, 1]","[0, 0, 1, 1, 1]"
20,Myliobatis aquila,"[0, 0, 0, 1, 1]","[0, 1, 1, 1, 1]"
21,Oxynotus centrina,"[1, 1, 1, 1, 0]","[1, 1, 1, 1, 0]"
22,Pteroplatytrygon violacea,"[0, 0, 1, 0, 0]","[0, 1, 1, 1, 1]"
23,Raja asterias,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]"
24,Raja brachyura,"[0, 0, 1, 1, 1]","[0, 1, 1, 1, 1]"
25,Raja clavata,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
26,Raja miraletus,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]"
27,Raja montagui,"[0, 1, 1, 1, 1]","[0, 1, 1, 1, 1]"
28,Raja polystigma,"[0, 1, 0, 1, 1]","[0, 1, 1, 0, 0]"
29,Raja radula,"[0, 0, 0, 0, 1]","[0, 1, 1, 1, 1]"
30,Rostroraja alba,"[1, 1, 0, 1, 0]","[0, 1, 1, 1, 1]"
31,Scyliorhinus canicula,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
32,Scyliorhinus stellaris,"[0, 1, 1, 1, 1]","[0, 1, 1, 1, 1]"
33,Squalus acanthias,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
34,Squalus blainville,"[1, 1, 1, 1, 1]","[1, 1, 1, 1, 1]"
35,Tetronarce nobiliana,"[1, 1, 1, 1, 0]","[1, 1, 1, 1, 1]"
36,Torpedo marmorata,"[1, 1, 1, 1, 1]","[0, 1, 1, 1, 1]"
37,Torpedo torpedo,"[0, 1, 1, 0, 1]","[0, 1, 1, 1, 1]"
