Species,T env
Tetronarce nobiliana,14.733993530273438
Torpedo marmorata,15.48290729522705
Torpedo torpedo,15.86998462677002
Dipturus batis,13.877289772033691
Dipturus oxyrinchus,14.336226463317871
Leucoraja circularis,14.336226463317871
Leucoraja fullonica,14.154172897338867
Leucoraja melitensis,15.48290729522705
Leucoraja naevus,14.154172897338867
Raja asterias,15.48290729522705
Raja brachyura,16.46102523803711
Raja clavata,15.48290729522705
Raja miraletus,15.48290729522705
Raja montagui,15.88431167602539
Raja polystigma,16.186677932739258
Raja radula,18.47856330871582
Rostroraja alba,14.65291976928711
Dasyatis pastinaca,15.019561767578125
Pteroplatytrygon violacea,14.977214813232422
Aetomylaeus bovinus,18.47856330871582
Myliobatis aquila,17.202930450439453
Centrophorus granulosus,14.733993530273438
Centrophorus uyato,14.733993530273438
Chimaera monstrosa,14.733993530273438
Dalatias licha,15.48290729522705
Etmopterus spinax,14.733993530273438
Galeus melastomus,14.733993530273438
Heptranchias perlo,15.48290729522705
Hexanchus griseus,15.48290729522705
Mustelus asterias,15.88431167602539
Mustelus mustelus,15.88431167602539
Mustelus punctulatus,16.46102523803711
Oxynotus centrina,14.733993530273438
Bathyraja brachyurops,15.019561767578125
Scyliorhinus canicula,15.48290729522705
Scyliorhinus stellaris,15.88431167602539
Squalus acanthias,15.48290729522705
Squalus blainville,15.48290729522705
